Row,Human,Natural
1990,67,57
1991,48,19
1992,99,33
1993,97,4
1994,96,48
1995,119,14
1996,156,65
1997,101,23
1998,110,8
1999,129,71
2000,116,11
2001,107,40
2002,146,27
2003,128,135
2004,153,34
2005,180,57
2006,137,118
2007,156,73
2008,127,227
2009,137,65
2010,108,45
2011,182,63
2012,205,49
2013,153,55
2014,91,68
2015,116,95
2016,225,25
2017,285,130
2018,217,37
2019,183,53
2020,276,69
2021,216,40
2022,191,16
2023,190,31
2024,381,30
