Row,Human,Natural
1990,46,4
1991,20,0
1992,63,0
1993,71,0
1994,68,4
1995,73,1
1996,93,3
1997,60,3
1998,43,2
1999,61,13
2000,53,0
2001,60,0
2002,69,1
2003,74,3
2004,85,4
2005,61,6
2006,52,7
2007,109,10
2008,63,22
2009,50,2
2010,51,3
2011,65,7
2012,87,10
2013,87,1
2014,71,6
2015,87,16
2016,110,1
2017,191,3
2018,159,3
2019,76,6
2020,144,15
2021,123,9
2022,99,0
2023,61,2
2024,135,2
