Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,653,11300.9412534054,-0.153128293627692,-1.4717645873472,0.0591230159298596,2.13759717467922e-15,0.971772427017337
<100km2Fire,653,11300.9412534054,-0.201841373186008,-1.59103771133173,0.0403021758720349,1.86161446067235e-32,0.97619778064613
<1000km2Fire,653,11300.9412534054,-0.206981820647365,-1.60242821736089,0.0304241421352713,9.09924977874134e-43,0.983688461563857
allFire,653,11300.9412534054,-0.229689137149502,-1.57960567043925,0.0290174978010272,4.10946639285765e-44,0.984387002826016
