Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,251,3875.81568724956,-0.170282400313597,-1.48609124463756,0.149413884426952,9.70431947731981e-09,0.846056056957698
<100km2Fire,251,3875.81568724956,-0.270063593308763,-1.54626509252068,0.0756526820687711,2.13031056209333e-21,0.920661625585685
<1000km2Fire,251,3875.81568724956,-0.321019529213842,-1.49893721821061,0.0553112317989796,3.12991813745044e-28,0.945905063504488
allFire,251,3875.81568724956,-0.321019529213843,-1.49893721821061,0.0553112317989805,3.12991813745244e-28,0.945905063504488
