Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,560,5005.58643638453,-0.108465646561643,-1.74878352234556,0.0519989897605547,2.42782843158706e-29,0.968323308339999
2000s,653,11300.9412534054,-0.201841373186008,-1.59103771133173,0.0403021758720349,1.86161446067235e-32,0.97619778064613
2010s,447,9144.78927472073,-0.258819569048713,-1.52675911120957,0.0538917859984513,3.69379881365255e-27,0.954793869863233
2020s,251,3875.81568724956,-0.270063593308763,-1.54626509252068,0.0756526820687711,2.13031056209333e-21,0.920661625585685
