Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,339,8238.48044481514,-0.349308298303402,-1.39031593220899,0.0441697222630614,7.91956361014193e-29,0.963063080846094
2000s,318,14645.7997281935,-0.41109641536014,-1.30606651991601,0.0431342150964007,3.2725876948647e-28,0.960202161815939
2010s,300,18325.6705196899,-0.412744329027882,-1.32099893537911,0.0505699486377914,6.96126940898305e-26,0.9472493284877
2020s,156,29937.2808259772,-0.596397268750403,-1.12127306224265,0.068949578807638,3.63275399456046e-18,0.880183608698389
