Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,300,18325.6705196899,-0.182718292758376,-1.43264800155424,0.112569099365809,1.94704592316172e-10,0.899984580670196
<100km2Fire,300,18325.6705196899,-0.412744329027882,-1.32099893537911,0.0505699486377914,6.96126940898305e-26,0.9472493284877
<1000km2Fire,300,18325.6705196899,-0.509816592192738,-1.2791841680196,0.0342779023098956,9.93827587677312e-40,0.963337940592193
allFire,300,18325.6705196899,-0.496999577072786,-1.29635336418324,0.0303793587942114,2.11384357287244e-44,0.970163800593173
