Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,339,8238.48044481514,-0.29424080206353,-1.17721582911396,0.104000800939906,1.28442486339808e-09,0.876819021526734
<100km2Fire,339,8238.48044481514,-0.349308298303402,-1.39031593220899,0.0441697222630614,7.91956361014193e-29,0.963063080846094
<1000km2Fire,339,8238.48044481514,-0.343786886180535,-1.43367891775279,0.031630798788276,1.14234335826845e-41,0.976704303356194
allFire,339,8238.48044481514,-0.343786886180535,-1.43367891775279,0.031630798788276,1.14234335826845e-41,0.976704303356194
