Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,560,5005.58643638453,-0.106305703571651,-1.58695516445302,0.0682640179580283,7.06885593349751e-15,0.967767217948344
2000s,653,11300.9412534054,-0.153128293627692,-1.4717645873472,0.0591230159298596,2.13759717467922e-15,0.971772427017337
2010s,447,9144.78927472073,-0.195763125622775,-1.4071581876888,0.118537472524649,6.00444970249276e-10,0.886735900012686
2020s,251,3875.81568724956,-0.170282400313597,-1.48609124463756,0.149413884426952,9.70431947731981e-09,0.846056056957698
