Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,339,8238.48044481514,-0.343786886180535,-1.43367891775279,0.031630798788276,1.14234335826845e-41,0.976704303356194
2000s,318,14645.7997281935,-0.444436088159305,-1.33234909028925,0.0325340249027091,8.4848732867529e-42,0.969366035922539
2010s,300,18325.6705196899,-0.509816592192738,-1.2791841680196,0.0342779023098956,9.93827587677312e-40,0.963337940592193
2020s,156,29937.2808259772,-0.720617334926295,-1.11058579354993,0.0360686047857024,6.24558870900767e-36,0.946112152136076
