Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,339,8238.48044481514,-0.29424080206353,-1.17721582911396,0.104000800939906,1.28442486339808e-09,0.876819021526734
2000s,318,14645.7997281935,-0.298563983224448,-1.15868593711969,0.0866874856479725,8.73042061783957e-11,0.908469813485545
2010s,300,18325.6705196899,-0.182718292758376,-1.43264800155424,0.112569099365809,1.94704592316172e-10,0.899984580670196
2020s,156,29937.2808259772,-0.214680856348646,-1.47077627695003,0.229589111185338,6.51299974466932e-06,0.707090591900166
