Row,count,area,alfa,beta,betaErr,pBeta,R2
Urban-edge,1186,53631.3962297584,-0.564893107392792,-1.38870512127484,0.0223247780419767,1.21167325200308e-59,0.983479136867091
Wildland,10519,28371.6515082678,-0.542279435599006,-1.92585807690919,0.0277028102320238,4.78482301872087e-56,0.988545300556755
