Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,318,14645.7997281935,-0.298563983224448,-1.15868593711969,0.0866874856479725,8.73042061783957e-11,0.908469813485545
<100km2Fire,318,14645.7997281935,-0.41109641536014,-1.30606651991601,0.0431342150964007,3.2725876948647e-28,0.960202161815939
<1000km2Fire,318,14645.7997281935,-0.444436088159305,-1.33234909028925,0.0325340249027091,8.4848732867529e-42,0.969366035922539
allFire,318,14645.7997281935,-0.441039691642811,-1.33716191127787,0.0311687155909843,2.099954430769e-43,0.971496077480026
