Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,156,29937.2808259772,-0.214680856348646,-1.47077627695003,0.229589111185338,6.51299974466932e-06,0.707090591900166
<100km2Fire,156,29937.2808259772,-0.596397268750403,-1.12127306224265,0.068949578807638,3.63275399456046e-18,0.880183608698389
<1000km2Fire,156,29937.2808259772,-0.720617334926295,-1.11058579354993,0.0360686047857024,6.24558870900767e-36,0.946112152136076
allFire,156,29937.2808259772,-0.723588420767612,-1.12661411446749,0.0291120314432162,3.8894604479531e-44,0.961480010720811
