Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,560,5005.58643638453,-0.106305703571651,-1.58695516445302,0.0682640179580283,7.06885593349751e-15,0.967767217948344
<100km2Fire,560,5005.58643638453,-0.108465646561643,-1.74878352234556,0.0519989897605547,2.42782843158706e-29,0.968323308339999
<1000km2Fire,560,5005.58643638453,-0.110694820980693,-1.75431951640849,0.039678422970516,1.75697612343902e-37,0.978476627229727
allFire,560,5005.58643638453,-0.110694820980692,-1.75431951640849,0.0396784229705168,1.75697612344052e-37,0.978476627229727
