Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,560,5005.58643638453,-0.110694820980693,-1.75431951640849,0.039678422970516,1.75697612343902e-37,0.978476627229727
2000s,653,11300.9412534054,-0.206981820647365,-1.60242821736089,0.0304241421352713,9.09924977874134e-43,0.983688461563857
2010s,447,9144.78927472073,-0.277744914464076,-1.52374643358702,0.0368038213117248,1.22323358180692e-38,0.973312339159467
2020s,251,3875.81568724956,-0.321019529213842,-1.49893721821061,0.0553112317989796,3.12991813745044e-28,0.945905063504488
