Row,count,area,alfa,beta,betaErr,pBeta,R2
<10km2Fire,447,9144.78927472073,-0.195763125622775,-1.4071581876888,0.118537472524649,6.00444970249276e-10,0.886735900012686
<100km2Fire,447,9144.78927472073,-0.258819569048713,-1.52675911120957,0.0538917859984513,3.69379881365255e-27,0.954793869863233
<1000km2Fire,447,9144.78927472073,-0.277744914464076,-1.52374643358702,0.0368038213117248,1.22323358180692e-38,0.973312339159467
allFire,447,9144.78927472073,-0.290426132295537,-1.51145484772825,0.0346492477843021,2.81000917382781e-40,0.975395239897476
