Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,339,8238.48044481514,-0.343786886180535,-1.43367891775279,0.031630798788276,1.14234335826845e-41,0.976704303356194
2000s,318,14645.7997281935,-0.441039691642811,-1.33716191127787,0.0311687155909843,2.099954430769e-43,0.971496077480026
2010s,300,18325.6705196899,-0.496999577072786,-1.29635336418324,0.0303793587942114,2.11384357287244e-44,0.970163800593173
2020s,156,29937.2808259772,-0.723588420767612,-1.12661411446749,0.0291120314432162,3.8894604479531e-44,0.961480010720811
